Comunidades y Ciudades Autónomas;Edad;Sexo;Periodo;Total
09 Cataluña;De 20 a 24 años;Ambos sexos;2024;452,2
09 Cataluña;De 25 a 34 años;Ambos sexos;2024;968,5
09 Cataluña;De 35 a 44 años;Ambos sexos;2024;1.108,8
09 Cataluña;De 45 a 54 años;Ambos sexos;2024;1.312,3
09 Cataluña;De 55 a 64 años;Ambos sexos;2024;1.059,7
09 Cataluña;65 y más años;Ambos sexos;2024;1.552,2
10 Comunitat Valenciana;Total;Ambos sexos;2024;5.329,3
10 Comunitat Valenciana;Menores de 16;Ambos sexos;2024;771,0
10 Comunitat Valenciana;De 16 a 19 años;Ambos sexos;2024;237,8
10 Comunitat Valenciana;De 20 a 24 años;Ambos sexos;2024;290,3
10 Comunitat Valenciana;De 25 a 34 años;Ambos sexos;2024;594,1
10 Comunitat Valenciana;De 35 a 44 años;Ambos sexos;2024;729,2
10 Comunitat Valenciana;De 45 a 54 años;Ambos sexos;2024;881,2
10 Comunitat Valenciana;De 55 a 64 años;Ambos sexos;2024;756,5
10 Comunitat Valenciana;65 y más años;Ambos sexos;2024;1.069,0
11 Extremadura;Total;Ambos sexos;2024;1.046,1
11 Extremadura;Menores de 16;Ambos sexos;2024;142,1
11 Extremadura;De 16 a 19 años;Ambos sexos;2024;42,2
11 Extremadura;De 20 a 24 años;Ambos sexos;2024;54,2
11 Extremadura;De 25 a 34 años;Ambos sexos;2024;110,5
11 Extremadura;De 35 a 44 años;Ambos sexos;2024;135,7
11 Extremadura;De 45 a 54 años;Ambos sexos;2024;160,7
11 Extremadura;De 55 a 64 años;Ambos sexos;2024;166,5
11 Extremadura;65 y más años;Ambos sexos;2024;234,2
12 Galicia;Total;Ambos sexos;2024;2.688,1
12 Galicia;Menores de 16;Ambos sexos;2024;316,1
12 Galicia;De 16 a 19 años;Ambos sexos;2024;97,3
12 Galicia;De 20 a 24 años;Ambos sexos;2024;118,3
12 Galicia;De 25 a 34 años;Ambos sexos;2024;247,6
12 Galicia;De 35 a 44 años;Ambos sexos;2024;344,7
12 Galicia;De 45 a 54 años;Ambos sexos;2024;449,1
12 Galicia;De 55 a 64 años;Ambos sexos;2024;402,2
12 Galicia;65 y más años;Ambos sexos;2024;712,8
13 Madrid, Comunidad de;Total;Ambos sexos;2024;7.009,9
13 Madrid, Comunidad de;Menores de 16;Ambos sexos;2024;1.026,2
13 Madrid, Comunidad de;De 16 a 19 años;Ambos sexos;2024;305,7
13 Madrid, Comunidad de;De 20 a 24 años;Ambos sexos;2024;400,6
13 Madrid, Comunidad de;De 25 a 34 años;Ambos sexos;2024;886,3
13 Madrid, Comunidad de;De 35 a 44 años;Ambos sexos;2024;992,6
13 Madrid, Comunidad de;De 45 a 54 años;Ambos sexos;2024;1.162,9
13 Madrid, Comunidad de;De 55 a 64 años;Ambos sexos;2024;938,7
13 Madrid, Comunidad de;65 y más años;Ambos sexos;2024;1.297,0
14 Murcia, Región de;Total;Ambos sexos;2024;1.567,4
14 Murcia, Región de;Menores de 16;Ambos sexos;2024;262,9
14 Murcia, Región de;De 16 a 19 años;Ambos sexos;2024;78,0
14 Murcia, Región de;De 20 a 24 años;Ambos sexos;2024;94,3
14 Murcia, Región de;De 25 a 34 años;Ambos sexos;2024;185,2
14 Murcia, Región de;De 35 a 44 años;Ambos sexos;2024;221,2
14 Murcia, Región de;De 45 a 54 años;Ambos sexos;2024;254,4
14 Murcia, Región de;De 55 a 64 años;Ambos sexos;2024;209,4
14 Murcia, Región de;65 y más años;Ambos sexos;2024;261,8
15 Navarra, Comunidad Foral de;Total;Ambos sexos;2024;675,2
15 Navarra, Comunidad Foral de;Menores de 16;Ambos sexos;2024;104,3
15 Navarra, Comunidad Foral de;De 16 a 19 años;Ambos sexos;2024;29,8
15 Navarra, Comunidad Foral de;De 20 a 24 años;Ambos sexos;2024;38,8
15 Navarra, Comunidad Foral de;De 25 a 34 años;Ambos sexos;2024;73,4
15 Navarra, Comunidad Foral de;De 35 a 44 años;Ambos sexos;2024;86,9
15 Navarra, Comunidad Foral de;De 45 a 54 años;Ambos sexos;2024;109,3
15 Navarra, Comunidad Foral de;De 55 a 64 años;Ambos sexos;2024;94,3
15 Navarra, Comunidad Foral de;65 y más años;Ambos sexos;2024;138,5
16 País Vasco;Total;Ambos sexos;2024;2.213,1
16 País Vasco;Menores de 16;Ambos sexos;2024;295,7
16 País Vasco;De 16 a 19 años;Ambos sexos;2024;91,5
16 País Vasco;De 20 a 24 años;Ambos sexos;2024;113,1
16 País Vasco;De 25 a 34 años;Ambos sexos;2024;220,2
16 País Vasco;De 35 a 44 años;Ambos sexos;2024;273,9
16 País Vasco;De 45 a 54 años;Ambos sexos;2024;361,3
